slug,name,venue_name,address_line,suburb,city,postcode,latitude,longitude,phone,email,directions,blurb,who_trains,instructor_name,instructor_grade,publish
whanganui,Whanganui,,,,Whanganui,,,,,,,,,,,no
far-north,Far North,,,,Kaitaia,,,,,,,,,,,no
auckland,Auckland,,,,Auckland,,,,,,,,,,,no
gisborne,Gisborne,,,,Gisborne,,,,,,,,,,,no
taranaki,Inglewood,,,,Inglewood,,,,,,,,,,,no
stratford,Stratford,,,,Stratford,,,,,,,,,,,no
new-plymouth,New Plymouth,,,,New Plymouth,,,,,,,,,,,no
hawera,Hawera,,,,Hawera,,,,,,,,,,,no
taumarunui,Taumarunui,,,,Taumarunui,,,,+64 27 635 3991,,,,,,,no
napier,Napier,,,,Napier,,,,,,,,,,,no
carterton,Carterton,,,,Carterton,,,,,,,,,,,no
wellington,Wellington,,,,Wellington,,,,,,,,,,,no
christchurch,Christchurch,,,,Christchurch,,,,,,,,,,,no
dunedin,Dunedin,,,,Dunedin,,,,,,,,,,,no
waikouaiti,Waikouaiti,,,,Waikouaiti,,,,,,,,,,,no
milton,Milton,,,,Milton,,,,,,,,,,,no
japan,Japan Branch,,,,,,,,,,,,,,,no
